id,name_en,segment_count,a_count,u_count,coronal_count,total_score_en
1,bulbasaur,4,0,0,2,6
2,ivysaur,3,0,0,2,5
3,venusaur,5,0,0,3,8
4,charmander,5,0,0,4,9
5,charmeleon,6,0,0,4,10
6,charizard,5,0,0,4,9
7,squirtle,5,0,0,3,8
8,wartortle,5,0,0,4,9
9,blastoise,5,0,0,4,9
10,caterpie,3,0,0,1,4
11,metapod,4,0,0,2,6
12,butterfree,4,0,0,2,6
13,weedle,3,0,0,2,5
14,kakuna,3,0,0,1,4
15,beedrill,4,0,0,3,7
16,pidgey,3,0,0,2,5
17,pidgeotto,3,0,0,2,5
18,pidgeot,3,0,0,2,5
19,rattata,3,0,0,3,6
20,raticate,4,0,0,3,7
21,spearow,3,0,0,2,5
22,fearow,1,0,0,1,2
23,ekans,3,0,0,2,5
24,arbok,3,0,0,1,4
25,pikachu,3,0,0,1,4
26,raichu,2,0,0,2,4
27,sandshrew,5,0,0,5,10
28,sandslash,6,0,0,6,12
29,nidoran-f,4,0,0,3,7
30,nidorina,3,0,0,3,6
31,nidoqueen,5,0,0,3,8
32,nidoran-m,4,0,0,4,8
33,nidorino,4,0,0,4,8
34,nidoking,4,0,0,2,6
35,clefairy,4,0,0,2,6
36,clefable,5,0,0,2,7
37,vulpix,5,0,0,2,7
38,ninetales,5,0,0,5,10
39,jigglypuff,5,0,0,2,7
40,wigglytuff,5,0,0,2,7
41,zubat,3,0,0,2,5
42,golbat,4,0,0,2,6
43,oddish,2,0,0,2,4
44,gloom,3,0,0,1,4
45,vileplume,5,0,0,2,7
46,paras,3,0,0,2,5
47,parasect,4,0,0,2,6
48,venonat,4,0,0,3,7
49,venomoth,4,0,0,2,6
50,diglett,4,0,0,3,7
51,dugtrio,3,0,0,2,5
52,meowth,3,0,0,1,4
53,persian,3,0,0,2,5
54,psyduck,3,0,0,2,5
55,golduck,5,0,0,3,8
56,mankey,3,0,0,1,4
57,primeape,4,0,0,1,5
58,growlithe,4,0,0,3,7
59,arcanine,4,0,0,3,7
60,poliwag,4,0,0,1,5
61,poliwhirl,5,0,0,3,8
62,poliwrath,5,0,0,3,8
63,abra,2,0,0,1,3
64,kadabra,4,0,0,2,6
65,alakazam,4,0,0,2,6
66,machop,3,0,0,0,3
67,machoke,3,0,0,1,4
68,machamp,3,0,0,0,3
69,bellsprout,6,0,0,4,10
70,weepinbell,5,0,0,2,7
71,victreebel,6,0,0,3,9
72,tentacool,5,0,0,4,9
73,tentacruel,6,0,0,5,11
74,geodude,3,0,0,3,6
75,graveler,4,0,0,2,6
76,golem,3,0,0,1,4
77,ponyta,3,0,0,2,5
78,rapidash,3,0,0,2,5
79,slowpoke,4,0,0,2,6
80,slowbro,4,0,0,3,7
81,magnemite,5,0,0,2,7
82,magneton,5,0,0,3,8
83,farfetchd,5,0,0,3,8
84,doduo,3,0,0,2,5
85,dodrio,3,0,0,3,6
86,seel,2,0,0,2,4
87,dewgong,3,0,0,1,4
88,grimer,3,0,0,1,4
89,muk,2,0,0,0,2
90,shellder,3,0,0,3,6
91,cloyster,4,0,0,3,7
92,gastly,4,0,0,3,7
93,haunter,3,0,0,2,5
94,gengar,3,0,0,1,4
95,onix,3,0,0,2,5
96,drowzee,3,0,0,3,6
