id,name_en,total_score_ja
1,bulbasaur,19
2,ivysaur,16
3,venusaur,21
4,charmander,18
5,charmeleon,21
6,charizard,22
7,squirtle,18
8,wartortle,17
9,blastoise,17
10,caterpie,12
11,metapod,19
12,butterfree,20
13,weedle,14
14,kakuna,12
15,beedrill,17
16,pidgey,11
17,pidgeotto,6
18,pidgeot,11
19,rattata,18
20,raticate,13
21,spearow,18
22,fearow,18
23,ekans,18
24,arbok,22
25,pikachu,13
26,raichu,13
27,sandshrew,13
28,sandslash,20
29,nidoran-f,16
30,nidorina,18
31,nidoqueen,14
32,nidoran-m,16
33,nidorino,17
34,nidoking,15
35,clefairy,5
36,clefable,9
37,vulpix,11
38,ninetales,11
39,jigglypuff,6
40,wigglytuff,9
41,zubat,17
42,golbat,22
43,oddish,26
44,gloom,23
45,vileplume,21
46,paras,15
47,parasect,24
48,venonat,13
49,venomoth,16
50,diglett,17
51,dugtrio,23
52,meowth,6
53,persian,16
54,psyduck,16
55,golduck,20
56,mankey,11
57,primeape,22
58,growlithe,19
59,arcanine,12
60,poliwag,12
61,poliwhirl,13
62,poliwrath,14
63,abra,11
64,kadabra,21
65,alakazam,13
66,machop,13
67,machoke,17
68,machamp,14
69,bellsprout,24
70,weepinbell,13
71,victreebel,18
72,tentacool,23
73,tentacruel,23
74,geodude,15
75,graveler,17
76,golem,18
77,ponyta,15
78,rapidash,12
79,slowpoke,13
80,slowbro,19
81,magnemite,10
82,magneton,20
83,farfetchd,18
84,doduo,22
85,dodrio,24
86,seel,18
87,dewgong,10
88,grimer,27
89,muk,21
90,shellder,21
91,cloyster,15
92,gastly,14
93,haunter,19
94,gengar,19
95,onix,17
96,drowzee,10
97,hypno,19
98,krabby,13
99,kingler,19
100,voltorb,20
101,electrode,18
102,exeggcute,24
103,exeggutor,11
104,cubone,24
105,marowak,26
106,hitmonlee,27
107,hitmonchan,25
108,lickitung,20
109,koffing,22
110,weezing,28
111,rhyhorn,19
112,rhydon,15
113,chansey,11
114,tangela,15
115,kangaskhan,19
116,horsea,13
117,seadra,16
118,goldeen,19
119,seaking,24
120,staryu,19
121,starmie,19
122,mr-mime,27
123,scyther,19
124,jynx,15
125,electabuzz,15
126,magmar,20
127,pinsir,16
128,tauros,19
129,magikarp,14
130,gyarados,18
131,lapras,18
132,ditto,16
133,eevee,10
134,vaporeon,18
135,jolteon,23
136,flareon,22
137,porygon,14
138,omanyte,21
139,omastar,23
140,kabuto,15
141,kabutops,21
142,aerodactyl,13
143,snorlax,16
144,articuno,20
145,zapdos,20
146,moltres,22
147,dratini,9
148,dragonair,12
149,dragonite,11
150,mewtwo,11
151,mew,5
152,chikorita,17
153,bayleef,14
154,meganium,19
155,cyndaquil,21
156,quilava,24
157,typhlosion,17
158,totodile,18
159,croconaw,18
160,feraligatr,22
161,sentret,13
162,furret,18
163,hoothoot,20
164,noctowl,20
165,ledyba,17
166,ledian,17
167,spinarak,16
168,ariados,23
169,crobat,21
170,chinchou,7
171,lanturn,20
172,pichu,5
173,cleffa,3
174,igglybuff,9
175,togepi,14
176,togetic,16
177,natu,11
178,xatu,16
179,mareep,11
180,flaaffy,15
181,ampharos,11
182,bellossom,20
183,marill,11
184,azumarill,13
185,sudowoodo,13
186,politoed,17
187,hoppip,16
188,skiploom,16
189,jumpluff,18
190,aipom,15
191,sunkern,18
192,sunflora,16
193,yanma,20
194,wooper,15
195,quagsire,13
