id,name_en,total_score_ja
196,espeon,12
197,umbreon,15
198,murkrow,23
199,slowking,19
200,misdreavus,12
201,unown,18
202,wobbuffet,20
203,girafarig,9
204,pineco,22
205,forretress,19
206,dunsparce,13
207,gligar,25
208,steelix,24
209,snubbull,10
210,granbull,18
211,qwilfish,15
212,scizor,16
213,shuckle,18
214,heracross,21
215,sneasel,9
216,teddiursa,16
217,ursaring,13
218,slugma,21
219,magcargo,25
220,swinub,11
221,piloswine,13
222,corsola,16
223,remoraid,18
224,octillery,15
225,delibird,26
226,mantine,16
227,skarmory,25
228,houndour,14
229,houndoom,20
230,kingdra,19
231,phanpy,21
232,donphan,16
233,porygon2,15
234,stantler,15
235,smeargle,18
236,tyrogue,14
237,hitmontop,27
238,smoochum,9
239,elekid,17
240,magby,8
241,miltank,15
242,blissey,17
243,raikou,16
244,entei,11
245,suicune,9
246,larvitar,22
247,pupitar,24
248,tyranitar,20
249,lugia,12
250,ho-oh,16
251,celebi,12
252,treecko,9
253,grovyle,14
254,sceptile,12
255,torchic,13
256,combusken,19
257,blaziken,15
258,mudkip,20
259,marshtomp,22
260,swampert,25
261,poochyena,17
262,mightyena,20
263,zigzagoon,24
264,linoone,20
265,wurmple,13
266,silcoon,23
267,beautifly,23
268,cascoon,18
269,dustox,18
270,lotad,20
271,lombre,22
272,ludicolo,17
273,seedot,21
274,nuzleaf,22
275,shiftry,22
276,taillow,14
277,swellow,24
278,wingull,11
279,pelipper,19
280,ralts,17
281,kirlia,13
282,gardevoir,25
283,surskit,22
284,masquerain,23
285,shroomish,17
286,breloom,21
287,slakoth,21
288,vigoroth,21
289,slaking,12
290,nincada,8
291,ninjask,14
292,shedinja,10
293,whismur,10
294,loudred,20
295,exploud,20
296,makuhita,22
297,hariyama,24
298,azurill,7
299,nosepass,18
300,skitty,13
301,delcatty,23
302,sableye,16
303,mawile,12
304,aron,22
305,lairon,17
306,aggron,27
307,meditite,19
308,medicham,10
309,electrike,17
310,manectric,22
311,plusle,15
312,minun,15
313,volbeat,20
314,illumise,14
315,roselia,18
316,gulpin,12
317,swalot,22
318,carvanha,17
319,sharpedo,29
320,wailmer,17
321,wailord,22
322,numel,14
323,camerupt,20
324,torkoal,19
325,spoink,18
326,grumpig,14
327,spinda,14
328,trapinch,22
329,vibrava,26
330,flygon,18
331,cacnea,22
332,cacturne,17
333,swablu,11
334,altaria,16
335,zangoose,18
336,seviper,21
337,lunatone,20
338,solrock,17
339,barboach,12
340,whiscash,17
341,corphish,15
342,crawdaunt,24
343,baltoy,15
344,claydol,19
345,lileep,12
346,cradily,18
347,anorith,17
348,armaldo,27
349,feebas,13
350,milotic,21
351,castform,15
352,kecleon,19
353,shuppet,24
354,banette,14
355,duskull,20
356,dusclops,25
357,tropius,18
358,chimecho,7
359,absol,18
360,wynaut,21
361,snorunt,19
362,glalie,20
363,spheal,27
364,sealeo,27
365,walrein,26
366,clamperl,18
367,huntail,18
368,gorebyss,21
369,relicanth,15
370,luvdisc,19
371,bagon,16
372,shelgon,16
373,salamence,25
374,beldum,18
375,metang,15
376,metagross,22
377,regirock,16
378,regice,18
379,registeel,15
380,latias,20
381,latios,19
382,kyogre,25
383,groudon,23
384,rayquaza,18
385,jirachi,17
386,deoxys-normal,17
387,turtwig,18
388,grotle,25
389,torterra,23
390,chimchar,17
391,monferno,24
392,infernape,25
393,piplup,14
394,prinplup,16
395,empoleon,17
396,starly,10
397,staravia,25
398,staraptor,19
399,bidoof,10
400,bibarel,15
401,kricketot,23
402,kricketune,19
403,shinx,11
404,luxio,13
405,luxray,22
406,budew,13
407,roserade,21
408,cranidos,22
409,rampardos,24
410,shieldon,21
411,bastiodon,18
412,burmy,13
413,wormadam-plant,23
414,mothim,22
415,combee,15
416,vespiquen,11
417,pachirisu,13
418,buizel,14
419,floatzel,21
420,cherubi,14
421,cherrim,10
422,shellos,23
423,gastrodon,19
424,ambipom,22
425,drifloon,14
426,drifblim,23
427,buneary,12
428,lopunny,13
429,mismagius,21
430,honchkrow,22
431,glameow,17
432,purugly,12
433,chingling,7
434,stunky,16
435,skuntank,19
436,bronzor,25
437,bronzong,21
438,bonsly,16
439,mime-jr,14
440,happiny,9
441,chatot,14
442,spiritomb,16
443,gible,18
444,gabite,21
445,garchomp,22
446,munchlax,12
447,riolu,10
448,lucario,16
449,hippopotas,21
450,hippowdon,23
451,skorupi,13
452,drapion,20
453,croagunk,16
454,toxicroak,19
455,carnivine,18
456,finneon,19
457,lumineon,21
458,mantyke,19
459,snover,17
460,abomasnow,20
461,weavile,15
462,magnezone,20
463,lickilicky,23
464,rhyperior,21
465,tangrowth,15
466,electivire,17
467,magmortar,21
468,togekiss,16
469,yanmega,24
470,leafeon,14
471,glaceon,18
472,gliscor,18
473,mamoswine,13
474,porygon-z,15
475,gallade,19
476,probopass,23
477,dusknoir,25
478,froslass,19
479,rotom,13
480,uxie,10
481,mesprit,15
482,azelf,18
483,dialga,22
484,palkia,17
485,heatran,17
486,regigigas,20
487,giratina-altered,20
488,cresselia,19
489,phione,13
490,manaphy,16
491,darkrai,24
492,shaymin-land,9
493,arceus,19
494,victini,13
495,snivy,18
496,servine,13
497,serperior,20
498,tepig,15
499,pignite,14
500,emboar,19
501,oshawott,14
502,dewott,20
503,samurott,16
504,patrat,12
505,watchog,15
506,lillipup,18
507,herdier,25
508,stoutland,19
509,purrloin,16
510,liepard,23
511,pansage,16
512,simisage,17
513,pansear,16
514,simisear,17
515,panpour,12
516,simipour,13
517,munna,10
518,musharna,12
519,pidove,21
520,tranquill,27
521,unfezant,18
522,blitzle,14
523,zebstrika,23
524,roggenrola,19
525,boldore,16
526,gigalith,21
527,woobat,17
528,swoobat,22
529,drilbur,12
530,excadrill,15
531,audino,15
532,timburr,24
533,gurdurr,19
534,conkeldurr,17
535,tympole,22
536,palpitoad,23
537,seismitoad,28
538,throh,13
539,sawk,14
540,sewaddle,11
541,swadloon,15
542,leavanny,24
543,venipede,10
544,whirlipede,16
545,scolipede,23
546,cottonee,11
547,whimsicott,14
548,petilil,8
549,lilligant,22
550,basculin-red-striped,21
551,sandile,18
552,krokorok,15
553,krookodile,21
554,darumaka,23
555,darmanitan-standard,20
556,maractus,21
557,dwebble,16
558,crustle,21
559,scraggy,12
560,scrafty,14
561,sigilyph,21
562,yamask,17
563,cofagrigus,21
564,tirtouga,25
565,carracosta,30
566,archen,17
567,archeops,24
568,trubbish,19
569,garbodor,25
570,zorua,17
571,zoroark,26
572,minccino,17
573,cinccino,17
574,gothita,11
575,gothorita,13
576,gothitelle,19
577,solosis,12
578,duosion,18
579,reuniclus,16
580,ducklett,18
581,swanna,16
582,vanillite,15
583,vanillish,14
584,vanilluxe,24
585,deerling,13
586,sawsbuck,19
587,emolga,17
588,karrablast,18
589,escavalier,18
590,foongus,27
591,amoonguss,24
592,frillish,11
593,jellicent,16
594,alomomola,22
595,joltik,12
596,galvantula,14
597,ferroseed,15
598,ferrothorn,18
599,klink,12
600,klang,15
601,klinklang,18
602,tynamo,16
603,eelektrik,13
604,eelektross,15
605,elgyem,14
606,beheeyem,18
607,litwick,14
608,lampent,22
609,chandelure,14
610,axew,15
611,fraxure,17
612,haxorus,21
613,cubchoo,12
614,beartic,21
615,cryogonal,15
616,shelmet,16
617,accelgor,25
618,stunfisk,10
619,mienfoo,14
620,mienshao,15
621,druddigon,16
622,golett,15
623,golurk,16
624,pawniard,23
625,bisharp,14
626,bouffalant,17
627,rufflet,15
628,braviary,19
629,vullaby,14
630,mandibuzz,21
631,heatmor,18
632,durant,20
633,deino,14
634,zweilous,14
635,hydreigon,26
636,larvesta,20
637,volcarona,21
638,cobalion,21
639,terrakion,18
640,virizion,14
641,tornadus-incarnate,20
642,thundurus-incarnate,22
643,reshiram,15
644,zekrom,16
645,landorus-incarnate,21
646,kyurem,9
647,keldeo-ordinary,18
648,meloetta-aria,20
649,genesect,22
650,chespin,20
651,quilladin,23
652,chesnaught,19
653,fennekin,13
654,braixen,23
655,delphox,20
656,froakie,18
657,frogadier,25
658,greninja,21
659,bunnelby,13
660,diggersby,17
661,fletchling,23
662,fletchinder,24
663,talonflame,26
664,scatterbug,15
665,spewpa,19
666,vivillon,12
667,litleo,9
668,pyroar,16
669,flabebe,19
670,floette,18
671,florges,24
672,skiddo,17
673,gogoat,27
674,pancham,12
675,pangoro,19
676,furfrou,16
677,espurr,17
678,meowstic-male,15
679,honedge,12
680,doublade,16
681,aegislash-shield,22
682,spritzee,7
683,aromatisse,17
684,swirlix,19
685,slurpuff,16
686,inkay,22
687,malamar,27
688,binacle,18
689,barbaracle,24
690,skrelp,17
691,dragalge,25
692,clauncher,17
693,clawitzer,24
694,helioptile,15
695,heliolisk,27
696,tyrunt,17
697,tyrantrum,24
698,amaura,18
699,aurorus,25
700,sylveon,13
701,hawlucha,12
702,dedenne,15
703,carbink,12
704,goomy,13
705,sliggoo,12
706,goodra,17
707,klefki,12
708,phantump,17
709,trevenant,21
710,pumpkaboo-average,14
711,gourgeist-average,14
712,bergmite,21
713,avalugg,19
714,noibat,19
715,noivern,20
716,xerneas,21
717,yveltal,19
718,zygarde-50,18
719,diancie,17
720,hoopa,12
721,volcanion,21
722,rowlet,18
723,dartrix,19
724,decidueye,23
725,litten,7
726,torracat,11
727,incineroar,24
728,popplio,16
729,brionne,15
730,primarina,19
731,pikipek,16
732,trumbeak,23
733,toucannon,26
734,yungoos,17
735,gumshoos,21
736,grubbin,20
737,charjabug,14
738,vikavolt,22
739,crabrawler,19
740,crabominable,17
741,oricorio-baile,21
742,cutiefly,14
743,ribombee,19
744,rockruff,14
745,lycanroc-midday,21
746,wishiwashi-solo,13
747,mareanie,15
748,toxapex,21
749,mudbray,24
750,mudsdale,26
751,dewpider,14
752,araquanid,21
753,fomantis,12
754,lurantis,20
755,morelull,12
756,shiinotic,21
757,salandit,21
758,salazzle,13
759,stufful,20
760,bewear,19
761,bounsweet,21
762,steenee,25
763,tsareena,21
764,comfey,20
765,oranguru,23
766,passimian,27
767,wimpod,18
768,golisopod,17
769,sandygast,21
770,palossand,21
771,pyukumuku,23
772,type-null,18
773,silvally,17
774,minior-red-meteor,13
775,komala,22
776,turtonator,24
777,togedemaru,24
778,mimikyu-disguised,7
779,bruxish,16
780,drampa,14
781,dhelmise,17
782,jangmo-o,14
783,hakamo-o,16
784,kommo-o,23
785,tapu-koko,24
786,tapu-lele,21
787,tapu-bulu,20
788,tapu-fini,20
789,cosmog,18
790,cosmoem,19
791,solgaleo,24
792,lunala,27
793,nihilego,19
794,buzzwole,17
795,pheromosa,21
796,xurkitree,17
797,celesteela,21
798,kartana,17
799,guzzlord,19
800,necrozma,22
801,magearna,21
802,marshadow,25
803,poipole,18
804,naganadel,24
805,stakataka,18
806,blacephalon,23
807,zeraora,22
808,meltan,14
809,melmetal,20
810,grookey,16
811,thwackey,14
812,rillaboom,28
813,scorbunny,13
814,raboot,18
815,cinderace,25
816,sobble,11
817,drizzile,17
818,inteleon,17
819,skwovet,19
820,greedent,20
821,rookidee,23
822,corvisquire,27
823,corviknight,37
824,blipbug,14
825,dottler,20
826,orbeetle,14
827,nickit,10
828,thievul,21
829,gossifleur,13
830,eldegoss,27
831,wooloo,12
832,dubwool,21
833,chewtle,19
834,drednaw,22
835,yamper,15
836,boltund,19
837,rolycoly,14
838,carkol,18
839,coalossal,21
840,applin,12
841,flapple,13
842,appletun,16
843,silicobra,16
844,sandaconda,18
845,cramorant,7
846,arrokuda,23
847,barraskewda,19
848,toxel,13
849,toxtricity-amped,24
850,sizzlipede,14
851,centiskorch,23
852,clobbopus,18
853,grapploct,22
854,sinistea,15
855,polteageist,19
856,hatenna,11
857,hattrem,13
858,hatterene,15
859,impidimp,23
860,morgrem,13
861,grimmsnarl,21
862,obstagoon,27
863,perrserker,11
864,cursola,20
865,sirfetchd,27
866,mr-rime,22
867,runerigus,22
868,milcery,16
869,alcremie,17
870,falinks,19
871,pincurchin,15
872,snom,13
873,frosmoth,16
874,stonjourner,13
875,eiscue-ice,18
876,indeedee-male,14
877,morpeko-full-belly,17
878,cufant,18
879,copperajah,26
880,dracozolt,22
881,arctozolt,19
882,dracovish,26
883,arctovish,20
884,duraludon,19
885,dreepy,24
886,drakloak,14
887,dragapult,26
888,zacian,16
889,zamazenta,25
890,eternatus,24
891,kubfu,16
892,urshifu-single-strike,20
893,zarude,19
894,regieleki,17
895,regidrago,25
896,glastrier,21
897,spectrier,17
898,calyrex,24
899,wyrdeer,16
900,kleavor,18
901,ursaluna,19
902,basculegion-male,19
903,sneasler,19
904,overqwil,17
905,enamorus-incarnate,23
906,sprigatito,13
907,floragato,16
908,meowscarada,23
909,fuecoco,20
910,crocalor,23
911,skeledirge,27
912,quaxly,13
913,quaxwell,20
914,quaquaval,22
915,lechonk,13
916,oinkologne-male,16
917,tarountula,21
918,spidops,27
919,nymble,24
920,lokix,19
921,pawmi,11
922,pawmo,17
923,pawmot,23
924,tandemaus,23
925,maushold-family-of-four,19
926,fidough,16
927,dachsbun,20
928,smoliv,10
929,dolliv,11
930,arboliva,15
931,squawkabilly-green-plumage,12
932,nacli,13
933,naclstack,15
934,garganacl,16
935,charcadet,18
936,armarouge,24
937,ceruledge,22
938,tadbulb,12
939,bellibolt,23
940,wattrel,14
941,kilowattrel,22
942,maschiff,16
943,mabosstiff,18
944,shroodle,13
945,grafaiai,17
946,bramblin,20
947,brambleghast,32
948,toedscool,24
949,toedscruel,19
950,klawf,20
951,capsakid,20
952,scovillain,17
953,rellor,19
954,rabsca,20
955,flittle,16
956,espathra,27
957,tinkatink,12
958,tinkatuff,18
959,tinkaton,17
960,wiglett,22
961,wugtrio,17
962,bombirdier,20
963,finizen,19
964,palafin-zero,18
965,varoom,15
966,revavroom,27
967,cyclizar,26
968,orthworm,12
969,glimmet,18
970,glimmora,19
971,greavard,8
972,houndstone,23
973,flamigo,21
974,cetoddle,21
975,cetitan,21
976,veluza,21
977,dondozo,15
978,tatsugiri-curly,13
979,annihilape,25
980,clodsire,16
981,farigiraf,9
982,dudunsparce-two-segment,18
983,kingambit,25
984,great-tusk,26
985,scream-tail,22
986,brute-bonnet,29
987,flutter-mane,30
988,slither-wing,26
989,sandy-shocks,31
990,iron-treads,27
991,iron-bundle,20
992,iron-hands,26
993,iron-jugulis,25
994,iron-moth,28
995,iron-thorns,27
996,frigibax,11
997,arctibax,18
998,baxcalibur,18
999,gimmighoul,20
1000,gholdengo,26
