id,name_en,total_score_en
701,hawlucha,5
702,dedenne,6
703,carbink,6
704,goomy,2
705,sliggoo,5
706,goodra,5
707,klefki,5
708,phantump,7
709,trevenant,11
710,pumpkaboo-average,9
711,gourgeist-average,9
712,bergmite,5
713,avalugg,5
714,noibat,5
715,noivern,5
716,xerneas,8
717,yveltal,6
718,zygarde-50,10
719,diancie,6
720,hoopa,2
721,volcanion,8
722,rowlet,6
723,dartrix,11
724,decidueye,6
725,litten,6
726,torracat,7
727,incineroar,8
728,popplio,4
729,brionne,5
730,primarina,8
731,pikipek,4
732,trumbeak,7
733,toucannon,7
734,yungoos,5
735,gumshoos,6
736,grubbin,6
737,charjabug,7
738,vikavolt,7
739,crabrawler,8
740,crabominable,10
741,oricorio-baile,8
742,cutiefly,7
743,ribombee,4
744,rockruff,6
745,lycanroc-midday,14
746,wishiwashi-solo,7
747,mareanie,5
748,toxapex,8
749,mudbray,6
750,mudsdale,7
751,dewpider,5
752,araquanid,8
753,fomantis,8
754,lurantis,8
755,morelull,5
756,shiinotic,7
757,salandit,10
758,salazzle,8
759,stufful,7
760,bewear,4
761,bounsweet,8
762,steenee,6
763,tsareena,4
764,comfey,3
765,oranguru,5
766,passimian,6
767,wimpod,5
768,golisopod,8
769,sandygast,11
770,palossand,9
771,pyukumuku,7
772,type-null,9
773,silvally,7
774,minior-red-meteor,10
775,komala,4
776,turtonator,8
777,togedemaru,8
778,mimikyu-disguised,11
779,bruxish,8
780,drampa,6
781,dhelmise,7
782,jangmo-o,5
783,hakamo-o,3
784,kommo-o,2
785,tapu-koko,5
786,tapu-lele,6
787,tapu-bulu,6
788,tapu-fini,7
789,cosmog,5
790,cosmoem,5
791,solgaleo,7
792,lunala,6
793,nihilego,6
794,buzzwole,6
795,pheromosa,4
796,xurkitree,9
797,celesteela,10
798,kartana,7
799,guzzlord,9
800,necrozma,8
801,magearna,6
802,marshadow,7
803,poipole,4
804,naganadel,9
805,stakataka,8
806,blacephalon,10
807,zeraora,6
808,meltan,7
809,melmetal,8
810,grookey,4
811,thwackey,4
812,rillaboom,6
813,scorbunny,8
814,raboot,5
815,cinderace,8
816,sobble,5
817,drizzile,8
818,inteleon,8
819,skwovet,7
820,greedent,9
821,rookidee,5
822,corvisquire,8
823,corviknight,6
824,blipbug,6
825,dottler,6
826,orbeetle,7
827,nickit,5
828,thievul,5
829,gossifleur,6
830,eldegoss,7
831,wooloo,3
832,dubwool,6
833,chewtle,6
834,drednaw,8
835,yamper,3
836,boltund,9
837,rolycoly,7
838,carkol,6
839,coalossal,7
840,applin,5
841,flapple,6
842,appletun,7
843,silicobra,8
844,sandaconda,11
845,cramorant,8
846,arrokuda,5
847,barraskewda,6
848,toxel,7
849,toxtricity-amped,16
850,sizzlipede,10
851,centiskorch,11
852,clobbopus,8
853,grapploct,9
854,sinistea,8
855,polteageist,10
856,hatenna,5
857,hattrem,6
858,hatterene,5
859,impidimp,6
860,morgrem,7
861,grimmsnarl,9
862,obstagoon,8
863,perrserker,4
864,cursola,5
865,sirfetchd,6
866,mr-rime,5
867,runerigus,7
868,milcery,5
869,alcremie,6
870,falinks,7
871,pincurchin,7
872,snom,5
873,frosmoth,8
874,stonjourner,12
875,eiscue-ice,5
876,indeedee-male,11
877,morpeko-full-belly,8
878,cufant,7
879,copperajah,4
880,dracozolt,11
881,arctozolt,13
882,dracovish,8
883,arctovish,8
884,duraludon,11
885,dreepy,5
886,drakloak,8
887,dragapult,10
888,zacian,6
889,zamazenta,9
890,eternatus,8
891,kubfu,4
892,urshifu-single-strike,10
893,zarude,6
894,regieleki,7
895,regidrago,7
896,glastrier,9
897,spectrier,8
898,calyrex,6
899,wyrdeer,5
900,kleavor,4
901,ursaluna,8
902,basculegion-male,13
903,sneasler,8
904,overqwil,5
905,enamorus-incarnate,11
906,sprigatito,10
907,floragato,9
908,meowscarada,8
909,fuecoco,4
910,crocalor,6
911,skeledirge,7
912,quaxly,7
913,quaxwell,8
914,quaquaval,7
915,lechonk,5
916,oinkologne-male,9
917,tarountula,10
918,spidops,8
919,nymble,6
920,lokix,6
921,pawmi,2
922,pawmo,2
923,pawmot,4
924,tandemaus,9
925,maushold-family-of-four,10
926,fidough,3
927,dachsbun,8
928,smoliv,6
929,dolliv,5
930,arboliva,6
931,squawkabilly-green-plumage,15
932,nacli,5
933,naclstack,8
934,garganacl,9
935,charcadet,9
936,armarouge,5
937,ceruledge,6
938,tadbulb,7
939,bellibolt,8
940,wattrel,9
941,kilowattrel,8
942,maschiff,6
943,mabosstiff,8
944,shroodle,8
945,grafaiai,5
946,bramblin,9
947,brambleghast,12
948,toedscool,7
949,toedscruel,8
950,klawf,4
951,capsakid,7
952,scovillain,8
953,rellor,4
954,rabsca,6
955,flittle,7
956,espathra,7
957,tinkatink,10
958,tinkatuff,8
959,tinkaton,8
960,wiglett,6
961,wugtrio,6
962,bombirdier,7
963,finizen,7
964,palafin-zero,10
965,varoom,2
966,revavroom,7
967,cyclizar,7
968,orthworm,6
969,glimmet,6
970,glimmora,6
971,greavard,6
972,houndstone,11
973,flamigo,5
974,cetoddle,8
975,cetitan,8
976,veluza,5
977,dondozo,8
978,tatsugiri-curly,10
979,annihilape,6
980,clodsire,7
981,farigiraf,3
982,dudunsparce-two-segment,22
983,kingambit,7
984,great-tusk,8
985,scream-tail,10
986,brute-bonnet,9
987,flutter-mane,8
988,slither-wing,8
989,sandy-shocks,10
990,iron-treads,8
991,iron-bundle,9
992,iron-hands,9
993,iron-jugulis,11
994,iron-moth,7
995,iron-thorns,12
996,frigibax,8
997,arctibax,9
998,baxcalibur,10
999,gimmighoul,4
1000,gholdengo,7
